movie_id,title,tags
19995,Avatar,centuri parapleg marin dispatch pandora uniqu mission becom between follow order protect alien civil action adventur fantasi sciencefict cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d samworthington zoesaldana sigourneyweav
285,Pirates of the Caribbean: At World's End,captain barbossa believ dead head earth turner elizabeth swann noth quit seem adventur fantasi action ocean drugabus exoticisland eastindiatradingcompani loveofoneslif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley
206647,Spectre,cryptic messag bond send trail uncov sinist organ while battl polit forc secret servic aliv peel layer deceit reveal terribl truth behind spectr action adventur crime spi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdom danielcraig christophwaltz léaseydoux
49026,The Dark Knight Rises,follow death district attorney harvey dent batman assum respons dent crime protect attorney reput subsequ hunt gotham polic depart eight year later batman encount mysteri selina villain bane terrorist leader overwhelm gotham finest knight resurfac protect brand enemi action crime drama thriller dccomic crimefight terrorist secretident burglar hostagedrama timebomb gothamc vigilant coverup superhero villai tragichero terror destruct catwoman catburglar imax flood criminalunderworld batman christianbal michaelcain garyoldman
49529,John Carter,carter warweari former militari captain who inexplic transport mysteri exot planet barsoom mar reluctantli becom embroil conflict world brink collaps carter rediscov human realiz surviv barsoom peopl rest hand action adventur sciencefict basedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3d taylorkitsch lynncollin samanthamorton
559,Spider-Man 3,seemingli invinc spiderman against allnew villain includ shapeshift sandman while spiderman superpow alter alien organ alter peter parker deal nemesi eddi brock caught triangl fantasi action adventur dualident amnesia sandstorm loveofoneslif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng tobeymaguir kirstendunst jamesfranco
38757,Tangled,kingdom wantedand charmingbandit flynn rider hide mysteri tower taken hostag rapunzel beauti feisti towerbound magic golden hair flynn curiou captor who look ticket tower where she lock year strike handsom thief unlik actionpack escapad complet supercop hors overprotect chameleon gruff thug anim famili hostag magic hors fairytal music princess anim tower blondewoman selfish healingpow basedonfairytal duringcreditssting healinggift animalsidekick zacharylevi mandymoor donnamurphi
99861,Avengers: Age of Ultron,stark tri jumpstart dormant peacekeep program thing earth mightiest hero ultim planet hang balanc villain ultron emerg aveng enact terribl plan uneasi allianc unexpect action uniqu global adventur action adventur sciencefict marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditssting marvelcinematicunivers 3d robertdowneyjr. chrishemsworth markruffalo
767,Harry Potter and the Half-Blood Prince,harri begin sixth hogwart discov mark properti halfblood princ begin learn about voldemort past adventur fantasi famili witch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolf danielradcliff rupertgrint emmawatson
209112,Batman v Superman: Dawn of Justice,fear action godlik super uncheck gotham citi formid forc vigilant take metropoliss rever modernday savior while world wrestl realli need batman superman anoth threat quickli aris put mankind greater danger known befor action adventur fantasi dccomic vigilant superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendedunivers benaffleck henrycavil galgadot
1452,Superman Returns,superman return discov 5year absenc allow luthor free those closest abandon move luthor plot ultim reveng could million kill chang planet forev rid himself steel adventur fantasi action sciencefict savingtheworld dccomic invulner sequel superhero basedoncomicbook kryptonit superpow superhumanstrength lexluthor brandonrouth kevinspacey katebosworth
10764,Quantum of Solace,quantum solac continu adventur jame after casino royal betray vesper woman love fight latest mission person pursu determin uncov truth interrog white reveal organ blackmail vesper complex danger anyon imagin adventur action thriller crime kill undercov secretag britishsecretservic danielcraig olgakurylenko mathieuamalr
58,Pirates of the Caribbean: Dead Man's Chest,captain sparrow work blood ghostli davey jone attempt avoid etern damnat adventur fantasi action witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley
57201,The Lone Ranger,texa ranger chase outlaw butch cavendish ambush ranger seemingli kill survivor found howev american indian name tonto nurs health ranger don ride white stallion name silver team tonto bring unscrupul other justic action adventur western texa hors survivor texasrang partner outlaw escap lawyer train lonerang comanch thelonerang tonto johnnydepp armiehamm williamfichtn goreverbinski
49521,Man of Steel,young learn extraordinari power earth young journey discov where emerg world annihil becom symbol mankind action adventur fantasi sciencefict savingtheworld dccomic superhero basedoncomicbook superhuman alieninvas reboot superpow dcextendedunivers henrycavil amyadam michaelshannon
2454,The Chronicles of Narnia: Prince Caspian,after their incred adventur lion witch wardrob peter edmund susan pevensi return narnia young princ whose threaten miraz color charact includ trufflehunt badger nikabrik dwarf pevensi embark incred quest ensur narnia return right heir adventur famili fantasi basedonnovel fictionalplac brothersisterrelationship lion humanb wretch leapintim matteroflifeanddeath faith uncl narnia fantasyworld benbarn williammoseley annapopplewel
24428,The Avengers,unexpect enemi emerg threaten global safeti secur furi director intern peacekeep agenc known shield find himself world brink disast span globe dare recruit effort begins! sciencefict action adventur newyork shield marvelcom superhero basedoncomicbook alieninvas superheroteam aftercreditssting duringcreditssting marvelcinematicunivers robertdowneyjr. chrisevan markruffalo
1865,Pirates of the Caribbean: On Stranger Tides,captain sparrow cross path woman past she ruthless artist who use fabl fountain youth forc aboard queen ann reveng formid pirat blackbeard find himself unexpect adventur which doesnt more: blackbeard woman past adventur action fantasi sea captain mutini sword primeminist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting 3d johnnydepp penélopecruz ianmcshan
41154,Men in Black 3,agent will smith tommi jone backin time inexplic thing year black noth alien perplex retic partner planet stake agent travel thing right discov there secret univers never secret reveal themselv team young agent josh brolin partner agenc futur humankind action comedi sciencefict timetravel timemachin alien fictionalgovernmentag seeingthefutur changinghistori willsmith tommyleejon joshbrolin
122917,The Hobbit: The Battle of the Five Armies,immedi after event desol smaug bilbo dwarv defend erebor mountain treasur other claim ruin laketown elv mirkwood meanwhil defil march erebor fuel sauron dwarv elv unit middleearth fall bilbo hand action adventur fantasi corrupt elv dwarv orc middleearthtolkien hobbit dragon battl unlikelyfriendship epicbattl swordandsorceri martinfreeman ianmckellen richardarmitag
1930,The Amazing Spider-Man,peter parker outcast schooler abandon parent leav rais uncl teenag peter tri figur person today peter discov mysteri briefcas belong father begin quest understand parent disappear lead directli oscorp connor father former partner spiderman collis cours connor alter lizard peter lifealt choic power shape destini becom hero action adventur fantasi lossoffath vigilant serum marvelcom scientificexperi spiderbit maskedvigilant reboot superpow geneticengin socialoutcast duringcreditssting andrewgarfield emmaston rhysifan
20662,Robin Hood,soldier robin happen die robert loxley promis return man sword famili nottingham there assum robert identity; romanc widow marion; draw town sheriff john henchman godfrey action adventur robinhood archer knight sherwoodforest bowandarrow middleag mediev kingofengland russellcrow cateblanchett maxvonsydow
57158,The Hobbit: The Desolation of Smaug,dwarv bilbo gandalf success escap misti mountain bilbo gain ring continu their journey their dragon smaug adventur fantasi elv dwarv orc hobbit dragon wizard swordandsorceri martinfreeman ianmckellen richardarmitag
2268,The Golden Compass,after overhear shock secret precoci orphan belacqua trade carefre exist roam hall jordan colleg otherworldli adventur north unawar destini adventur fantasi england compass experi lordship uncl polarbear orphan anim basedonyoungadultnovel dakotabluerichard nicolekidman danielcraig
254,King Kong,york overli ambiti movi produc coerc hire travel mysteri skull island where encount kong giant immedi smitten lead ladi adventur drama action filmbusi screenplay showbusi filmmak filmproduc exoticisland monster indigen ship dinosaur naomiwatt jackblack adrienbrodi
597,Titanic,year later 101yearold woman name dewitt bukat tell stori granddaught lizzi calvert brock lovett lewi bodin bobbi buell anatoli mikailavich keldysh about april 1912 call titan young board depart upperclass passeng mother dewitt bukat fiancé caledon hockley meanwhil drifter artist name dawson friend fabrizio rossi thirdclass ticket game explain whole stori departur until death titan first voyag april 15th morn drama romanc thriller shipwreck iceberg ship panic titan oceanlin epic richwomanpoorman love disast tragiclov classdiffer imax starcrossedlov steerag salvag richsnob 3d 1910 katewinslet leonardodicaprio francesfish
271110,Captain America: Civil War,follow event ultron collect govern world design regul superhuman activ polar opinion amongst aveng caus faction captain america which caus battl between former alli adventur action sciencefict civilwar war marvelcom sequel superhero basedoncomicbook imax aftercreditssting duringcreditssting marvelcinematicunivers 3d chrisevan robertdowneyjr. scarlettjohansson
44833,Battleship,mankind beam radio signal space repli come ‘planet sever alien craft splash water hawaii lieuten hopper weapon offic assign jone intern naval coalit which becom world surviv engag hostil alien forc unimagin strength while take invad hopper potenti brother fiancé father admir shane expect thriller action adventur sciencefict fight usnavi mindread hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommun taser buoy communicationsexpert jointchiefsofstaff crashland jetfighterpilot navylieuten permissiontomarri ussjohnpauljon basedonboardgam aftercreditssting mightymo ussmissouri taylorkitsch alexanderskarsgård rihanna
135397,Jurassic World,twentytwo year after event jurass park nublar featur fulli function dinosaur theme park jurass world origin envis hammond action adventur sciencefict thriller monster dna tyrannosaurusrex velociraptor island sequel suspens disast escap dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror chrispratt brycedallashoward irrfankhan
37724,Skyfall,bond latest assign grave wrong agent around world expos attack forc reloc agenc these event caus author posit challeng gareth mallori chairman intellig secur committe compromis insid trust: bond take shadow aid field agent follow trail mysteri silva whose lethal hidden motiv reveal themselv action adventur thriller spi secretag sociopath killer artgalleri britishsecretservic istanbulturkey imax uzi boobytrap impersonatingapoliceoffic macao danielcraig judidench javierbardem
558,Spider-Man 2,peter parker go through major ident crisi burn be spiderman decid shelv superhero alter which leav suffer carnag meantim parker still cant feel watson love sinc childhood action adventur fantasi dualident loveofoneslif pizzaboy marvelcom sequel superhero doctor scientist tentacl death supervillain tobeymaguir kirstendunst jamesfranco
68721,Iron Man 3,stark world apart formid terrorist call mandarin start odyssey rebuild retribut action adventur sciencefict terrorist waronterror tennesse malibu marvelcom superhero basedoncomicbook tonystark ironman aftercreditssting marvelcinematicunivers mandarin 3d warmachin ironpatriot extremi robertdowneyjr. gwynethpaltrow doncheadl
12155,Alice in Wonderland,alic unpretenti individu 19yearold betroth dunc english nobleman engag parti escap crowd consid whether through marriag fall garden after spot unusu rabbit arriv strang surreal place call underland find herself world resembl nightmar child fill talk anim villain queen knight frumiou bandersnatch alic realiz there reason conquer horrif jabberwocki restor right queen throne famili fantasi adventur basedonnovel fictionalplac queen fantasi aliceinwonderland fantasyworld 3d miawasikowska johnnydepp annehathaway
36668,X-Men: The Last Stand,found treat mutat line drawn amongst xmen brotherhood power mutant organ under xavier former alli magneto adventur action sciencefict thriller mutant marvelcom basedoncomicbook superhuman beast cyclop aftercreditssting hughjackman halleberri ianmckellen
62211,Monsters University,relationship between sulley dure their monster univers werent necessarili friend anim famili monster dormitori game anim bestfriend univers scari aftercreditssting billycryst johngoodman stevebuscemi
8373,Transformers: Revenge of the Fallen,witwicki leav autobot behind normal life fill cryptic symbol decepticon target drag transform sciencefict action adventur egypt sun chao symbol artifact transform tank robot imax duringcreditssting shialabeouf meganfox joshduhamel
91314,Transformers: Age of Extinction,"human pick piec follow conclus ""transformers: moon"" autobot decepticon vanish planet howev group power ingeni businessman scientist attempt learn transform incurs boundari technolog beyond control while ancient power transform menac earth crosshair sciencefict action adventur sequel alien transform giantrobot robot imax transformingrobot markwahlberg stanleytucci kelseygramm"
68728,Oz: The Great and Powerful,oscar digg smalltim circu illusionist conartist whisk kansa where inhabit assum great wizard propheci there clutch evil fantasi adventur famili circu witch magic hope illus lost magictrick wizard 3d jamesfranco milakuni rachelweisz
102382,The Amazing Spider-Man 2,peter parker busi between take spiderman spend person love staci school graduat cannot quickli enough peter forgotten about promis gwen father protect stay away promis cannot keep thing chang peter villain electro emerg friend harri osborn return peter uncov clue about past action adventur fantasi obsess marvelcom sequel basedoncomicbook electrocut medicalexperi electr superpow andrewgarfield emmaston jamiefoxx
20526,TRON: Legacy,flynn techsavvi dare kevin flynn investig father disappear pull grid mysteri program name quorra quest dictat cross world adventur action sciencefict artificialintellig secretident computerprogram dystopia comput decept duel motorcycl neonlight autocraci garretthedlund jeffbridg oliviawild
49013,Cars 2,lightn mcqueen mater oversea compet world grand race championship becom rocki mater caught intrigu adventur intern espionag anim famili adventur comedi carrac sequel comedi anthropomorph bestfriend duringcreditssting owenwilson larrythecableguy michaelcain johnlasset
